Country_Code,Country,WEO Subject Code,Subject Descriptor,Units,Year,Value,Country_Name,Region,Income_Group
ALB,Albania,NGDPDPC,"Gross domestic product per capita, current prices",U.S. dollars,2000,1127.64,Albania,Europe & Central Asia,Upper middle income
DZA,Algeria,NGDPDPC,"Gross domestic product per capita, current prices",U.S. dollars,2000,1947.755,Algeria,Middle East & North Africa,Upper middle income
AGO,Angola,NGDPDPC,"Gross domestic product per capita, current prices",U.S. dollars,2000,681.129,Angola,Sub-Saharan Africa,Lower middle income
ATG,Antigua and Barbuda,NGDPDPC,"Gross domestic product per capita, current prices",U.S. dollars,2000,10931.312,Antigua and Barbuda,Latin America & Caribbean,High income
ARG,Argentina,NGDPDPC,"Gross domestic product per capita, current prices",U.S. dollars,2000,8638.543,Argentina,Latin America & Caribbean,Upper middle income
ARM,Armenia,NGDPDPC,"Gross domestic product per capita, current prices",U.S. dollars,2000,620.638,Armenia,Europe & Central Asia,Upper middle income
ABW,Aruba,NGDPDPC,"Gross domestic product per capita, current prices",U.S. dollars,2000,20681.137,Aruba,Latin America & Caribbean,High income
AUS,Australia,NGDPDPC,"Gross domestic product per capita, current prices",U.S. dollars,2000,20910.76,Australia,East Asia & Pacific,High income
AUT,Austria,NGDPDPC,"Gross domestic product per capita, current prices",U.S. dollars,2000,24636.471,Austria,Europe & Central Asia,High income
AZE,Azerbaijan,NGDPDPC,"Gross domestic product per capita, current prices",U.S. dollars,2000,656.386,Azerbaijan,Europe & Central Asia,Upper middle income
BHS,The Bahamas,NGDPDPC,"Gross domestic product per capita, current prices",U.S. dollars,2000,26601.368,"Bahamas, The",Latin America & Caribbean,High income
BHR,Bahrain,NGDPDPC,"Gross domestic product per capita, current prices",U.S. dollars,2000,14214.58,Bahrain,Middle East & North Africa,High income
BGD,Bangladesh,NGDPDPC,"Gross domestic product per capita, current prices",U.S. dollars,2000,483.217,Bangladesh,South Asia,Lower middle income
BRB,Barbados,NGDPDPC,"Gross domestic product per capita, current prices",U.S. dollars,2000,11337.027,Barbados,Latin America & Caribbean,High income
BLR,Belarus,NGDPDPC,"Gross domestic product per capita, current prices",U.S. dollars,2000,1079.61,Belarus,Europe & Central Asia,Upper middle income
BEL,Belgium,NGDPDPC,"Gross domestic product per capita, current prices",U.S. dollars,2000,23136.511,Belgium,Europe & Central Asia,High income
BLZ,Belize,NGDPDPC,"Gross domestic product per capita, current prices",U.S. dollars,2000,4333.93,Belize,Latin America & Caribbean,Upper middle income
BEN,Benin,NGDPDPC,"Gross domestic product per capita, current prices",U.S. dollars,2000,503.22,Benin,Sub-Saharan Africa,Lower middle income
BTN,Bhutan,NGDPDPC,"Gross domestic product per capita, current prices",U.S. dollars,2000,814.755,Bhutan,South Asia,Lower middle income
BOL,Bolivia,NGDPDPC,"Gross domestic product per capita, current prices",U.S. dollars,2000,994.617,Bolivia,Latin America & Caribbean,Lower middle income
BIH,Bosnia and Herzegovina,NGDPDPC,"Gross domestic product per capita, current prices",U.S. dollars,2000,1480.624,Bosnia and Herzegovina,Europe & Central Asia,Upper middle income
BWA,Botswana,NGDPDPC,"Gross domestic product per capita, current prices",U.S. dollars,2000,3290.347,Botswana,Sub-Saharan Africa,Upper middle income
BRA,Brazil,NGDPDPC,"Gross domestic product per capita, current prices",U.S. dollars,2000,3864.917,Brazil,Latin America & Caribbean,Upper middle income
BRN,Brunei Darussalam,NGDPDPC,"Gross domestic product per capita, current prices",U.S. dollars,2000,20473.284,Brunei Darussalam,East Asia & Pacific,High income
BGR,Bulgaria,NGDPDPC,"Gross domestic product per capita, current prices",U.S. dollars,2000,1625.322,Bulgaria,Europe & Central Asia,High income
