Country_Code,Country_Name,Year,Region,Income_Group,Control_of_Corruption,Government_Effectiveness,Political_Stability,Rule_Of_Law,Regulatory_Quality,Voice_and_Accountability
ABW,Aruba,2004,Latin America & Caribbean,High income,1.1659653186798096,1.2813886404037476,0.993218183517456,0.915526807308197,0.7629538178443909,0.737520694732666
ABW,Aruba,2005,Latin America & Caribbean,High income,1.2696630954742432,1.2875980138778687,1.3764159679412842,0.847438395023346,0.8640743494033813,1.15323007106781
ABW,Aruba,2006,Latin America & Caribbean,High income,1.2513132095336914,1.279817819595337,1.3034605979919434,0.8104313015937805,0.8552867770195007,1.0172734260559082
ABW,Aruba,2007,Latin America & Caribbean,High income,1.2618709802627563,1.2466012239456177,1.286568522453308,0.826464056968689,0.8772063255310059,0.9721288681030273
ABW,Aruba,2008,Latin America & Caribbean,High income,1.2767753601074219,1.270924687385559,1.3163959980010986,0.8472261428833008,0.8947023749351501,0.9671981930732727
ABW,Aruba,2009,Latin America & Caribbean,High income,1.109147548675537,1.4966564178466797,1.1215542554855347,1.4262067079544067,1.2893006801605225,1.2523435354232788
ABW,Aruba,2010,Latin America & Caribbean,High income,1.1212955713272095,1.2464534044265747,1.1008473634719849,1.4161136150360107,1.3448377847671509,1.281883716583252
ABW,Aruba,2011,Latin America & Caribbean,High income,1.1029465198516846,1.2364304065704346,1.2857377529144287,1.3224583864212036,1.317276954650879,1.2735878229141235
ABW,Aruba,2012,Latin America & Caribbean,High income,1.0952359437942505,1.2475881576538086,1.2638815641403198,1.3097883462905884,1.40213143825531,1.2846497297286987
ABW,Aruba,2013,Latin America & Caribbean,High income,1.1196006536483765,1.221081256866455,1.3122262954711914,1.2926331758499146,1.420879602432251,1.2780632972717285
ABW,Aruba,2014,Latin America & Caribbean,High income,1.0140010118484497,0.8874942660331726,1.1645678281784058,1.0364248752593994,1.2453608512878418,1.2768323421478271
ABW,Aruba,2015,Latin America & Caribbean,High income,1.2483011484146118,0.8475992679595947,1.2102395296096802,1.2271379232406616,1.3581424951553345,1.27399480342865
ABW,Aruba,2016,Latin America & Caribbean,High income,1.2326933145523071,0.8529057502746582,1.2607585191726685,1.2266480922698975,1.3357449769973755,1.279492735862732
ABW,Aruba,2017,Latin America & Caribbean,High income,1.2396140098571777,0.8759697079658508,1.3138459920883179,1.2958426475524902,1.181481122970581,1.2956544160842896
ABW,Aruba,2018,Latin America & Caribbean,High income,1.2074013948440552,1.0134127140045166,1.3375098705291748,1.2596540451049805,0.8463282585144043,1.2828235626220703
ABW,Aruba,2019,Latin America & Caribbean,High income,1.1744308471679688,0.9876939058303833,1.3358073234558105,1.2283459901809692,0.8462342023849487,1.2625652551651
AFG,Afghanistan,2000,South Asia,Low income,-1.2717242240905762,-2.1739461421966553,-2.4389688968658447,-1.7806607484817505,-2.0802526473999023,-2.03141713142395
AFG,Afghanistan,2002,South Asia,Low income,-1.2511370182037354,-1.5876870155334473,-2.035033702850342,-1.6734732389450073,-1.811545729637146,-1.433421015739441
AFG,Afghanistan,2003,South Asia,Low income,-1.3441797494888306,-1.1757680177688599,-2.1983723640441895,-1.5582937002182007,-1.4631078243255615,-1.177571177482605
AFG,Afghanistan,2004,South Asia,Low income,-1.3506473302841187,-0.9451462626457214,-2.295682191848755,-1.6939252614974976,-1.5115489959716797,-1.2030339241027832
AFG,Afghanistan,2005,South Asia,Low income,-1.4472523927688599,-1.2288156747817993,-2.067509889602661,-1.6629655361175537,-1.6434402465820312,-1.125429630279541
